"Name","n_params","val_accuracy","_wandb"
"without-pretrained-300k","305800","0.4449300765991211",""
"splendid-flower-91","305800","0.40644362568855286",""
"chocolate-cherry-86","305800","0.47087979316711426",""
"without-pretrained-200k","205192","0.4326923191547394",""
"without-pretrained-68k","66856","0.37631118297576904",""
"without-pretrain","248920","0.4313811063766479",""
"solar-sweep-15","80120","0.371940553188324",""
"wise-sweep-14","636776","0.15734265744686127",""
"dauntless-sweep-13","37544","0.3404720425605774",""
"zany-sweep-12","734824","0.14510490000247955",""
"whole-sweep-11","248920","0.4261363744735718",""
"rare-sweep-10","446376","0.20104895532131195",""
"serene-sweep-9","770184","0.38374125957489014",""
"curious-sweep-8","752520","0.3811188936233521",""
"eternal-sweep-7","444328","0.47246503829956055",""
"frosty-sweep-6","772744","0.14160838723182678",""
"stilted-sweep-6","173832","0.3977272808551788",""
"devout-sweep-5","406664","0.49475523829460144",""
"fine-sweep-4","414280","0.19886364042758944",""
"icy-sweep-3","752520","0.2237762212753296",""
"likely-sweep-2","52136","0.16433566808700562",""